            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454203.5, A.D. 2007-Apr-13 00:00:00.0000,1.14E+08,-1.76E+08,-6.48E+06,2.12E+01,1.53E+01,-2.01E-01,6.99E+02,2.10E+08,-1.23E+00
2454205.5, A.D. 2007-Apr-15 00:00:00.0000,1.18E+08,-1.73E+08,-6.52E+06,2.09E+01,1.57E+01,-1.84E-01,6.98E+02,2.09E+08,-1.19E+00
2454207.5, A.D. 2007-Apr-17 00:00:00.0000,1.22E+08,-1.70E+08,-6.55E+06,2.06E+01,1.62E+01,-1.68E-01,6.98E+02,2.09E+08,-1.15E+00
2454209.5, A.D. 2007-Apr-19 00:00:00.0000,1.25E+08,-1.67E+08,-6.58E+06,2.03E+01,1.66E+01,-1.52E-01,6.97E+02,2.09E+08,-1.11E+00
2454211.5, A.D. 2007-Apr-21 00:00:00.0000,1.29E+08,-1.64E+08,-6.60E+06,2.00E+01,1.70E+01,-1.35E-01,6.96E+02,2.09E+08,-1.06E+00
2454213.5, A.D. 2007-Apr-23 00:00:00.0000,1.32E+08,-1.61E+08,-6.62E+06,1.97E+01,1.74E+01,-1.18E-01,6.96E+02,2.09E+08,-1.02E+00
2454215.5, A.D. 2007-Apr-25 00:00:00.0000,1.35E+08,-1.58E+08,-6.64E+06,1.93E+01,1.78E+01,-1.02E-01,6.95E+02,2.08E+08,-9.76E-01
2454217.5, A.D. 2007-Apr-27 00:00:00.0000,1.39E+08,-1.55E+08,-6.66E+06,1.90E+01,1.82E+01,-8.47E-02,6.95E+02,2.08E+08,-9.31E-01
2454219.5, A.D. 2007-Apr-29 00:00:00.0000,1.42E+08,-1.52E+08,-6.67E+06,1.86E+01,1.86E+01,-6.78E-02,6.94E+02,2.08E+08,-8.86E-01
2454221.5, A.D. 2007-May-01 00:00:00.0000,1.45E+08,-1.49E+08,-6.68E+06,1.83E+01,1.90E+01,-5.08E-02,6.94E+02,2.08E+08,-8.40E-01
2454223.5, A.D. 2007-May-03 00:00:00.0000,1.48E+08,-1.45E+08,-6.69E+06,1.79E+01,1.94E+01,-3.37E-02,6.93E+02,2.08E+08,-7.94E-01
